iter	RMSE
213	4.730277736
214	4.726032859
215	4.723247855
216	4.719114807
217	4.717925499
218	4.715726915
219	4.713961695
220	4.710367349
221	4.708037709
222	4.704639819
223	4.702761711
224	4.699597199
225	4.694592546
226	4.692440556
227	4.690311092
228	4.685693779
229	4.684264368
230	4.681020566
231	4.680904848
232	4.679101323
233	4.677189361
234	4.674248592
235	4.672196943
236	4.670943752
237	4.668000945
238	4.6632799
239	4.655028377
240	4.652008412
241	4.649583451
242	4.647974917
243	4.646512973
244	4.643321589
245	4.639696752
246	4.631931696
247	4.629085475
248	4.626164918
249	4.62279117
250	4.618870362
251	4.614926906
252	4.611471566
253	4.607262597
254	4.604772327
255	4.602856013
256	4.598161575
257	4.595081595
258	4.589649254
259	4.585907226
260	4.583719424
261	4.582165761
262	4.577218091
263	4.575321424
264	4.570624158
265	4.567655379
266	4.565198936
267	4.563799197
268	4.561708508
269	4.559418923
270	4.553958544
271	4.553674877
272	4.551046893
273	4.54802722
274	4.543233609
275	4.539366774
276	4.538462368
277	4.535405932
278	4.534163201
279	4.529987145
280	4.527564766
281	4.525194758
282	4.52052184
283	4.518241285
284	4.515323736
285	4.510256501
286	4.504270851
287	4.50194199
288	4.497148896
289	4.495111275
290	4.492744108
291	4.490426254
292	4.488688981
293	4.486199477
294	4.480028721
295	4.475115831
296	4.469938707
297	4.465380885
298	4.463473538
299	4.457835651
300	4.455059751
301	4.452684748
302	4.445441162
303	4.443519727
304	4.439465665
305	4.434140469
306	4.42664183
307	4.425241738
308	4.419814925
309	4.416536337
310	4.413801791
311	4.412808219
312	4.40928713
313	4.405553333
314	4.404432741
315	4.399043177
316	4.394917282
317	4.389930148
318	4.38823191
319	4.384197072
320	4.37980352
321	4.379548291
322	4.377370511
323	4.373495025
324	4.372558681
325	4.369743123
326	4.36615144
327	4.362020786
328	4.358123156
329	4.355374327
330	4.35429982
331	4.353713063
332	4.351957527
333	4.349727194
334	4.347222971
335	4.345073509
336	4.34146423
337	4.339744746
338	4.333770019
339	4.331611097
340	4.328639061
341	4.323980563
342	4.321370774
343	4.319385814
344	4.318391851
345	4.31470918
346	4.311566008
347	4.307706698
348	4.307337631
349	4.302068495
350	4.300525879
351	4.294871234
352	4.293095604
353	4.291224635
354	4.288779639
355	4.285576887
356	4.282486825
357	4.281941748
358	4.280849834
359	4.276245044
360	4.271751067
361	4.270583119
362	4.268256747
363	4.265991393
364	4.261719202
365	4.258498531
366	4.252937209
367	4.249550635
368	4.247470042
369	4.241515983
370	4.239121563
371	4.235632007
372	4.234962502
373	4.229025434
374	4.223829335
375	4.221741837
376	4.216805026
377	4.216315269
378	4.2116109
379	4.209729093
380	4.208400688
381	4.207769927
382	4.205670346
383	4.202745717
384	4.198909479
385	4.19736214
386	4.197191348
387	4.19281072
388	4.19073939
389	4.189347537
390	4.189077098
391	4.186667866
392	4.182229714
393	4.179039632
394	4.175088879
395	4.171444389
396	4.168914886
397	4.166372939
398	4.164235607
399	4.161978164
400	4.159088774
401	4.156455089
402	4.155953533
403	4.153091937
404	4.152829068
405	4.14964986
406	4.145397286
407	4.142805476
408	4.140093215
409	4.135919972
410	4.132993987
411	4.130393649
412	4.125391936
413	4.123879342
414	4.122007567
415	4.119279959
416	4.118826486
417	4.114226265
418	4.112626808
419	4.106607698
420	4.104960098
421	4.103263943
422	4.100057229
423	4.099411501
424	4.097121229
425	4.09197191
426	4.089330778
427	4.086038447
428	4.082577758
429	4.07817125
430	4.077878929
431	4.07669848
432	4.07332763
433	4.071134786
434	4.067042174
435	4.066839936
436	4.066580419
437	4.063292761
438	4.063143974
439	4.060093861
440	4.056754882
441	4.056179282
442	4.054729578
443	4.050675342
444	4.049804677
445	4.048792586
446	4.046727628
447	4.043348866
448	4.041219376
449	4.039736735
450	4.036157751
451	4.03388378
452	4.031052624
453	4.028706174
454	4.028044011
455	4.025580703
456	4.02308626
457	4.020567224
458	4.016686456
459	4.016499098
460	4.015624559
461	4.011956359
462	4.008360918
463	4.006627165
464	4.004566649
465	4.002933362
466	4.001049117
467	4.00005729
468	3.996317724
469	3.995787034
470	3.990799417
471	3.990427432
472	3.989904221
473	3.986123612
474	3.98494566
475	3.984422507
476	3.981476283
477	3.980450801
478	3.976425869
479	3.97541676
480	3.972797168
481	3.97148128
482	3.969984553
483	3.967276052
484	3.967109245
485	3.964486573
486	3.963748345
487	3.962857494
488	3.961969302
489	3.95917082
490	3.957167753
491	3.95462529
492	3.94978767
493	3.947005475
494	3.943675507
495	3.94288807
496	3.940824801
497	3.936134727
498	3.934224545
499	3.930466442
500	3.929755184
501	3.927042294
502	3.922914285
503	3.921078424
504	3.920111237
505	3.919303576
506	3.917817679
507	3.912811382
508	3.90929312
509	3.906842765
510	3.906327012
511	3.905239955
512	3.903041786
513	3.900630874
514	3.897796667
515	3.897639748
516	3.894244096
517	3.893783331
518	3.893059945
519	3.891095584
520	3.887074726
521	3.885931443
522	3.885075806
523	3.884877383
524	3.883976161
525	3.881864738
526	3.878484339
527	3.874944664
528	3.872318399
529	3.869446284
530	3.868066591
531	3.863151391
532	3.862607903
533	3.862329425
534	3.862059852
535	3.859607619
536	3.857071652
537	3.855155713
538	3.851420397
539	3.850479788
540	3.849597605
541	3.846081923
542	3.840883997
543	3.83917039
544	3.837361186
545	3.835630328
546	3.834066559
547	3.830117199
548	3.828307034
549	3.826279048
550	3.824358836
551	3.82299668
552	3.819983364
553	3.817562207
554	3.812835804
555	3.81270528
556	3.811853067
557	3.811147759
558	3.807792545
559	3.804296477
560	3.800926801
561	3.800330895
562	3.798966119
563	3.797200882
564	3.793922365
565	3.790714703
566	3.789365779
567	3.787152985
568	3.783466452
569	3.781080059
570	3.775992035
571	3.773471904
572	3.771408267
573	3.768087424
574	3.765496094
575	3.765272993
576	3.764701407
577	3.764011383
578	3.759398811
579	3.755176796
580	3.753429696
581	3.7520503
582	3.748768405
583	3.747608909
584	3.746424593
585	3.743064693
586	3.740248361
587	3.739564843
588	3.73737345
589	3.735195764
590	3.733779241
591	3.73203022
592	3.7298212
593	3.726552236
594	3.725810845
595	3.72526057
596	3.7229721
597	3.722607599
598	3.722313052
599	3.719655527
600	3.718864652
601	3.715282165
602	3.714309362
603	3.711699904
604	3.709745126
605	3.706938814
606	3.704081489
607	3.703802999
608	3.701838036
609	3.69901887
610	3.697115906
611	3.692200227
612	3.690046546
613	3.686522287
614	3.682970553
615	3.681148977
616	3.679357682
617	3.677888378
618	3.676234252
619	3.672685182
620	3.66960938
621	3.666413057
622	3.662298958
623	3.660903801
624	3.658902831
625	3.655757139
626	3.652980052
627	3.649326675
628	3.648879585
629	3.647364085
630	3.643464167
631	3.641471861
632	3.639811071
633	3.638200089
634	3.63777362
635	3.633788775
636	3.631202676
637	3.628940226
638	3.62594525
639	3.622814816
640	3.621370693
641	3.620958599
642	3.619473587
643	3.616433743
644	3.615646951
645	3.611488727
646	3.608830769
647	3.607503696
648	3.607419927
649	3.607153709
650	3.605984533
651	3.604997796
652	3.603924188
653	3.599174168
654	3.597262576
655	3.596692879
656	3.593457334
657	3.592722742
658	3.590307745
659	3.587198845
660	3.584933641
661	3.584264296
662	3.581009467
663	3.57906853
664	3.574531376
665	3.573137613
666	3.57296425
667	3.571787232
668	3.571087762
669	3.570941799
670	3.570190219
671	3.567391589
672	3.564697717
673	3.563431987
674	3.562426139
675	3.562361088
676	3.560863866
677	3.559298956
678	3.557182654
679	3.556592359
680	3.553766044
681	3.552062621
682	3.55020646
683	3.54846531
684	3.546138222
685	3.54568832
686	3.545573684
687	3.543214798
688	3.541728993
689	3.538369126
690	3.53760161
691	3.535485555
692	3.535379018
693	3.533400257
694	3.532471936
695	3.530203113
696	3.530060423
697	3.529971349
698	3.527220027
699	3.524684138
700	3.523414987
701	3.522998416
702	3.52102539
703	3.518218364
704	3.517285836
705	3.51685622
706	3.514533828
707	3.512916144
708	3.509803968
709	3.508313672
710	3.504878332
711	3.504499671
712	3.504347362
713	3.501302781
714	3.500690019
715	3.497106839
716	3.496949843
717	3.49459796
718	3.493203823
719	3.493095096
720	3.490694208
721	3.489119396
722	3.486880022
723	3.484513036
724	3.481823809
725	3.480666031
726	3.479087672
727	3.476658766
728	3.474529511
729	3.474169036
730	3.469330152
731	3.469230799
732	3.466679098
733	3.465115917
734	3.461185937
735	3.457675897
736	3.457490702
737	3.452794022
738	3.451886844
739	3.451345037
740	3.448799185
741	3.447264944
742	3.445604214
743	3.444460401
744	3.444078535
745	3.443118478
746	3.442788464
747	3.442185815
748	3.440009082
749	3.43899002
750	3.436568664
751	3.432477558
752	3.430587229
753	3.428979
754	3.427147754
755	3.42447144
756	3.422640292
757	3.420345102
758	3.417929666
759	3.416761937
760	3.416638366
761	3.415017739
762	3.412998992
763	3.411304502
764	3.409424526
765	3.40715462
766	3.405423146
767	3.405314873
768	3.40344277
769	3.400538526
770	3.395059831
771	3.390925647
772	3.388945761
773	3.385393621
774	3.384256738
775	3.381314119
776	3.379229328
777	3.378124288
778	3.377114109
779	3.375044766
780	3.372988746
781	3.370707575
782	3.365544405
783	3.363227071
784	3.360075425
785	3.359737181
786	3.359034135
787	3.358148686
788	3.354769388
789	3.353676292
790	3.351893321
791	3.348932679
792	3.345755387
793	3.344830103
794	3.34455335
795	3.343734921
796	3.342502844
797	3.339394972
798	3.338244094
799	3.33641546
800	3.33420082
801	3.333442121
802	3.331696215
803	3.32737849
804	3.32458432
805	3.323762211
806	3.322965921
807	3.319511066
808	3.319130823
809	3.318235267
810	3.316696585
811	3.312080695
812	3.311671443
813	3.308250938
814	3.306828963
815	3.305843383
816	3.302832868
817	3.30043722
818	3.297227788
819	3.295491158
820	3.293950901
821	3.291330065
822	3.290025802
823	3.288340132
824	3.286927548
825	3.285578232
826	3.283049719
827	3.281569136
828	3.280966667
829	3.279261298
830	3.276852024
831	3.274757162
832	3.273999154
833	3.272318961
834	3.271156972
835	3.271109699
836	3.270163928
837	3.268540665
838	3.268061272
839	3.264935172
840	3.262752699
841	3.259299483
842	3.257599562
843	3.257480266
844	3.255360166
845	3.251324004
846	3.249431302
847	3.248940296
848	3.246946393
849	3.244540234
850	3.242297621
851	3.239757255
852	3.23696011
853	3.236791136
854	3.235862583
855	3.234598147
856	3.234139174
857	3.233481812
858	3.231855674
859	3.230911037
860	3.229850191
861	3.227839835
862	3.227076119
863	3.223194301
864	3.223182392
865	3.22218783
866	3.220854205
867	3.220807623
868	3.218646178
869	3.218243037
870	3.216497484
871	3.21644118
872	3.213724285
873	3.209497875
874	3.208712918
875	3.207958687
876	3.20684742
877	3.203563639
878	3.19964149
879	3.199408732
880	3.198011117
881	3.197934987
882	3.19747634
883	3.195121619
884	3.194628494
885	3.191949358
886	3.190876595
887	3.189042231
888	3.188973381
889	3.185190604
890	3.18321727
891	3.182457644
892	3.181353827
893	3.179028688
894	3.176768572
895	3.17620311
896	3.175314391
897	3.173766384
898	3.172622533
899	3.170246706
900	3.168676494
901	3.166496565
902	3.164797674
903	3.163622795
904	3.160520393
905	3.159405648
906	3.157625017
907	3.155926843
908	3.153632417
909	3.15221589
910	3.14823495
911	3.146991421
912	3.144287006
913	3.141505133
914	3.140973915
915	3.140431716
916	3.139474355
917	3.138455382
918	3.13779256
919	3.135470759
920	3.13394752
921	3.131565948
922	3.12889168
923	3.127676502
924	3.126471573
925	3.125412604
926	3.121618073
927	3.121355007
928	3.117538819
929	3.116216933
930	3.115219888
931	3.113634231
932	3.112925423
933	3.111891539
934	3.110743014
935	3.109056461
936	3.105905824
937	3.103903472
938	3.102788139
939	3.101735919
940	3.100651888
941	3.100402874
942	3.098736577
943	3.097314153
944	3.095096408
945	3.094815485
946	3.093853371
947	3.092638757
948	3.090309585
949	3.08964686
950	3.0895446
951	3.087059647
952	3.084035466
953	3.083612235
954	3.081119853
955	3.079842404
956	3.078366707
957	3.077515784
958	3.075781744
959	3.074612319
960	3.073321581
961	3.07218367
962	3.070800042
963	3.070689984
964	3.068562232
965	3.066279046
966	3.064527827
967	3.063640261
968	3.061389543
969	3.060322913
970	3.059157081
971	3.056009524
972	3.055081235
973	3.053630868
974	3.049757425
975	3.047723361
976	3.045241938
977	3.044070021
978	3.042179882
979	3.04130169
980	3.039541528
981	3.038932795
982	3.037837874
983	3.035577552
984	3.032681698
985	3.029847678
986	3.028292286
987	3.027493377
988	3.027355794
989	3.026717475
990	3.026678071
991	3.026114788
992	3.025673648
993	3.022263603
994	3.018613624
995	3.017833883
996	3.015476666
997	3.014085244
998	3.011875467
999	3.010654259
