iter	Passed	Remaining
215	296	1075
216	297	1073
217	298	1071
218	299	1069
219	300	1066
220	303	1068
221	304	1066
222	305	1064
223	306	1062
224	307	1060
225	308	1057
226	309	1055
227	311	1053
228	312	1051
229	313	1049
230	314	1046
231	314	1042
232	316	1040
233	318	1043
234	320	1042
235	321	1040
236	322	1037
237	323	1035
238	324	1033
239	325	1032
240	327	1029
241	328	1028
242	329	1025
243	330	1023
244	331	1022
245	333	1022
246	334	1020
247	335	1018
248	337	1016
249	338	1014
250	339	1012
251	340	1010
252	341	1008
253	342	1006
254	343	1004
255	345	1003
256	346	1001
257	348	1001
258	349	1000
259	351	999
260	352	997
261	353	996
262	354	994
263	356	993
264	357	991
265	358	989
266	359	987
267	360	985
268	362	985
269	364	984
270	365	982
271	366	981
272	367	979
273	369	980
274	371	978
275	372	976
276	373	974
277	374	972
278	375	970
279	377	970
280	378	969
281	380	968
282	381	966
283	382	965
284	384	963
285	385	961
286	386	959
287	387	958
288	388	956
289	389	954
290	391	954
291	393	953
292	394	951
293	395	949
294	397	949
295	398	948
296	400	947
297	402	947
298	403	946
299	405	945
300	408	948
301	409	946
302	410	945
303	412	943
304	413	941
305	414	939
306	415	937
307	416	935
308	417	934
309	418	932
310	420	930
311	422	931
312	423	929
313	424	928
314	426	926
315	427	925
316	428	923
317	429	921
318	430	919
319	431	917
320	433	916
321	434	914
322	435	912
323	437	913
324	439	912
325	440	910
326	441	908
327	442	906
328	443	905
329	444	903
330	446	901
331	447	899
332	448	897
333	449	895
334	450	894
335	452	894
336	454	893
337	455	892
338	456	890
339	458	889
340	459	887
341	460	886
342	462	885
343	463	883
344	464	881
345	465	879
346	467	880
347	468	878
348	469	876
349	471	874
350	472	872
351	473	871
352	474	869
353	475	867
354	476	866
355	477	864
356	478	862
357	480	860
358	482	860
359	483	859
360	484	857
361	485	856
362	486	854
363	488	852
364	489	851
365	490	849
366	491	847
367	492	845
368	493	844
369	494	842
370	496	841
371	497	840
372	499	839
373	500	837
374	501	835
375	502	834
376	503	832
377	504	830
378	506	829
379	507	827
380	508	825
381	509	824
382	510	822
383	512	822
384	514	821
385	515	819
386	516	818
387	518	817
388	520	816
389	521	815
390	522	813
391	523	811
392	524	810
393	526	809
394	527	808
395	529	807
396	531	806
397	532	805
398	534	804
399	535	803
400	536	801
401	538	800
402	539	799
403	542	799
404	543	799
405	545	797
406	546	796
407	548	795
408	550	795
409	552	794
410	553	793
411	558	797
412	560	796
413	562	796
414	564	795
415	565	794
416	567	793
417	568	791
418	570	790
419	572	790
420	573	788
421	574	787
422	576	786
423	577	784
424	579	783
425	580	781
426	581	780
427	582	779
428	584	777
429	586	777
430	588	776
431	589	775
432	591	773
433	592	772
434	593	771
435	595	769
436	596	768
437	597	766
438	598	765
439	602	767
440	604	766
441	605	764
442	607	763
443	608	762
444	610	761
445	611	760
446	613	759
447	621	766
448	623	764
449	624	763
450	625	761
451	627	760
452	628	758
453	629	757
454	631	756
455	633	755
456	634	754
457	636	752
458	637	751
459	638	749
460	639	748
461	641	746
462	642	745
463	644	744
464	646	744
465	648	742
466	649	741
467	650	739
468	652	738
469	653	736
470	654	735
471	656	733
472	657	732
473	658	730
474	661	731
475	663	730
476	664	728
477	666	727
478	667	725
479	668	724
480	670	723
481	671	721
482	672	719
483	673	718
484	676	717
485	678	717
486	680	716
487	681	715
488	682	713
489	684	712
490	685	710
491	686	709
492	687	707
493	689	705
494	692	706
495	694	706
496	696	704
497	697	703
498	698	701
499	700	700
500	701	698
501	702	696
502	703	695
503	706	695
504	708	694
505	710	693
506	711	691
507	712	690
508	714	688
509	715	687
510	716	685
511	718	684
512	719	682
513	722	683
514	724	682
515	725	680
516	726	679
517	728	677
518	729	676
519	730	674
520	732	673
521	733	671
522	734	669
523	737	670
524	739	668
525	740	667
526	741	665
527	742	664
528	744	662
529	745	660
530	746	659
531	747	657
532	748	656
533	750	654
534	752	653
535	753	652
536	754	650
537	755	649
538	757	647
539	758	645
540	759	644
541	760	642
542	761	641
543	762	639
544	764	637
545	766	637
546	768	636
547	769	634
548	770	633
549	771	631
550	773	629
551	774	628
552	775	626
553	776	625
554	777	623
555	778	621
556	780	621
557	782	619
558	783	618
559	785	616
560	786	615
561	788	614
562	790	613
563	791	612
564	793	610
565	794	609
566	796	608
567	797	606
568	799	605
569	800	603
570	801	602
571	803	600
572	804	599
573	805	597
574	806	596
575	807	594
576	808	592
577	811	592
578	812	591
579	814	589
580	815	587
581	816	586
582	817	584
583	818	583
584	819	581
585	821	580
586	822	578
587	823	576
588	825	575
589	826	574
590	828	573
591	829	571
592	830	570
593	832	568
594	833	567
595	834	565
596	836	564
597	837	562
598	838	561
599	840	560
600	841	558
601	843	557
602	844	555
603	845	554
604	846	552
605	847	551
606	849	549
607	850	548
608	852	547
609	853	545
610	857	545
611	858	544
612	860	543
613	861	541
614	863	540
615	864	538
616	865	537
617	866	535
618	867	534
619	868	532
620	871	531
621	872	530
622	873	528
623	874	526
624	875	525
625	876	523
626	878	522
627	879	520
628	880	519
629	881	517
630	882	516
631	883	514
632	885	513
633	887	512
634	888	510
635	889	509
636	890	507
637	891	505
638	892	504
639	894	502
640	895	501
641	896	499
642	897	498
643	898	496
644	901	496
645	902	494
646	903	493
647	904	491
648	905	489
649	907	488
650	908	486
651	909	485
652	910	483
653	911	482
654	912	480
655	913	479
656	916	478
657	917	476
658	919	475
659	920	474
660	921	472
661	923	471
662	924	469
663	925	468
664	926	466
665	927	465
666	929	463
667	931	462
668	932	461
669	934	460
670	935	458
671	936	457
672	938	456
673	940	454
674	941	453
675	941	451
676	943	449
677	944	448
678	946	447
679	947	446
680	949	444
681	950	443
682	951	441
683	953	440
684	954	438
685	955	437
686	956	435
687	957	434
688	958	432
689	960	431
690	962	430
691	963	428
692	964	427
693	965	425
694	966	424
695	967	422
696	968	421
697	970	419
698	971	418
699	972	416
700	973	415
701	974	413
702	976	412
703	977	411
704	978	409
705	980	408
706	981	406
707	982	405
708	983	403
709	984	402
710	985	400
711	986	399
712	987	397
713	989	396
714	991	395
715	993	393
716	994	392
717	995	390
718	996	389
719	997	387
720	998	386
721	999	384
722	1000	383
723	1002	382
724	1003	380
725	1004	379
726	1006	377
727	1008	376
728	1009	375
729	1010	373
730	1011	372
731	1013	370
732	1014	369
733	1015	368
734	1016	366
735	1017	365
736	1019	363
737	1021	362
738	1022	361
739	1023	359
740	1024	358
741	1025	356
742	1027	355
743	1028	353
744	1029	352
745	1031	351
746	1032	349
747	1033	348
748	1034	346
749	1036	345
750	1037	344
751	1039	342
752	1040	341
753	1041	339
754	1042	338
755	1043	336
756	1044	335
757	1046	333
758	1047	332
759	1048	331
760	1049	329
761	1051	328
762	1052	326
763	1053	325
764	1054	324
765	1056	322
766	1057	321
767	1059	319
768	1060	318
769	1061	317
770	1063	315
771	1064	314
772	1066	313
773	1067	311
774	1069	310
775	1070	309
776	1071	307
777	1073	306
778	1074	304
779	1075	303
780	1077	302
781	1080	301
782	1081	299
783	1083	298
784	1084	297
785	1086	295
786	1087	294
787	1089	293
788	1090	291
789	1091	290
790	1092	288
791	1095	287
792	1098	286
793	1100	285
794	1102	284
795	1103	282
796	1104	281
797	1106	280
798	1107	278
799	1110	277
800	1112	276
801	1113	274
802	1114	273
803	1115	271
804	1116	270
805	1117	269
806	1118	267
807	1119	266
808	1121	264
809	1122	263
810	1123	261
811	1125	260
812	1126	259
813	1128	257
814	1129	256
815	1130	254
816	1131	253
817	1133	252
818	1134	250
819	1135	249
820	1136	247
821	1137	246
822	1139	245
823	1140	243
824	1142	242
825	1143	240
826	1144	239
827	1145	238
828	1147	236
829	1149	235
830	1150	233
831	1151	232
832	1152	231
833	1153	229
834	1155	228
835	1156	226
836	1157	225
837	1158	223
838	1159	222
839	1160	221
840	1161	219
841	1163	218
842	1165	216
843	1166	215
844	1167	214
845	1168	212
846	1169	211
847	1170	209
848	1172	208
849	1173	207
850	1174	205
851	1175	204
852	1176	202
853	1178	201
854	1180	200
855	1181	198
856	1182	197
857	1184	195
858	1185	194
859	1186	193
860	1188	191
861	1189	190
862	1190	188
863	1191	187
864	1192	186
865	1194	184
866	1195	183
867	1196	181
868	1197	180
869	1198	179
870	1200	177
871	1201	176
872	1202	174
873	1203	173
874	1204	172
875	1205	170
876	1206	169
877	1209	168
878	1210	166
879	1211	165
880	1212	163
881	1213	162
882	1215	161
883	1216	159
884	1217	158
885	1218	156
886	1219	155
887	1220	153
888	1221	152
889	1224	151
890	1225	149
891	1226	148
892	1227	147
893	1228	145
894	1229	144
895	1230	142
896	1232	141
897	1233	140
898	1234	138
899	1235	137
900	1236	135
901	1238	134
902	1240	133
903	1241	131
904	1242	130
905	1243	129
906	1244	127
907	1246	126
908	1247	124
909	1248	123
910	1249	122
911	1250	120
912	1251	119
913	1253	117
914	1255	116
915	1256	115
916	1258	113
917	1263	112
918	1264	111
919	1266	110
920	1268	108
921	1270	107
922	1271	106
923	1272	104
924	1274	103
925	1275	101
926	1276	100
927	1277	99
928	1279	97
929	1280	96
930	1281	94
931	1282	93
932	1284	92
933	1285	90
934	1286	89
935	1287	88
936	1289	86
937	1290	85
938	1291	83
939	1292	82
940	1293	81
941	1294	79
942	1295	78
943	1297	76
944	1299	75
945	1300	74
946	1301	72
947	1302	71
948	1303	70
949	1305	68
950	1306	67
951	1307	65
952	1308	64
953	1309	63
954	1310	61
955	1311	60
956	1313	59
957	1315	57
958	1316	56
959	1317	54
960	1318	53
961	1319	52
962	1320	50
963	1321	49
964	1323	47
965	1324	46
966	1325	45
967	1326	43
968	1328	42
969	1330	41
970	1331	39
971	1332	38
972	1333	37
973	1334	35
974	1335	34
975	1336	32
976	1338	31
977	1339	30
978	1340	28
979	1341	27
980	1343	26
981	1344	24
982	1345	23
983	1347	21
984	1348	20
985	1349	19
986	1350	17
987	1351	16
988	1352	15
989	1353	13
990	1354	12
991	1355	10
992	1357	9
993	1359	8
994	1361	6
995	1362	5
996	1363	4
997	1364	2
998	1365	1
999	1366	0
